,date,lon,lat,mslp,ws
0,2024-06-30T06,-51.53578874218209,10.3894297635605,100270.11718428781,17.80877674139658
1,2024-06-30T12,-53.036831132731095,10.890125173852567,100454.9695147952,19.431488508681902
2,2024-06-30T18,-54.5378735232801,11.641168289290675,100406.79037599503,18.235803022678414
3,2024-07-01T00,-56.038915913829044,11.891515994436716,100189.10213515747,19.85138727342088
4,2024-07-01T06,-58.04030576789438,12.141863699582757,99972.00073236154,20.886303152156277
5,2024-07-01T12,-59.79152189020158,12.642559109874824,99859.27948984064,21.760728480508497
6,2024-07-01T18,-61.292564280750526,13.143254520166906,99675.08704226768,23.5510375754552
7,2024-07-02T00,-62.79360667129953,13.643949930458973,99660.32974290958,24.486010944715133
8,2024-07-02T06,-64.54482279360667,14.14464534075104,99501.26953100368,23.327329097510617
9,2024-07-02T12,-66.29603891591387,14.895688456189148,99458.56950283446,24.257326166125605
10,2024-07-02T18,-68.04725503822101,15.39638386648123,99515.60285598955,23.219740706419962
11,2024-07-03T00,-69.79847116052815,15.39638386648123,99629.03909563438,24.78149619733661
12,2024-07-03T06,-71.79986101459349,15.646731571627257,99711.94785839996,25.250307950117527
13,2024-07-03T12,-73.0507296733843,16.147426981919338,99436.87401284842,26.889470051164956
14,2024-07-03T18,-75.05211952744963,16.648122392211405,99203.51359363325,27.094111371736066
15,2024-07-04T00,-76.30298818624044,16.898470097357446,99092.77786664345,24.931525540156024
16,2024-07-04T06,-78.05420430854764,17.148817802503473,99094.44071214461,22.033639927562707
17,2024-07-04T12,-79.80542043085478,17.399165507649514,98886.1051096365,24.527786592826164
18,2024-07-04T18,-80.80611535788745,17.89986091794158,99080.99367620892,25.619374683839027
19,2024-07-05T00,-82.30715774843645,18.15020862308762,98575.7186856865,25.00455368336143
